0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
0 1 47
0 2 182
0 3 168
0 4 112
0 5 192
0 6 96
0 7 45
0 8 144
0 9 76
1 2 32
1 3 51
1 4 75
1 5 150
1 6 154
1 7 144
1 8 156
1 9 156
2 3 139
2 4 192
2 5 112
2 6 93
2 7 28
2 8 18
2 9 34
3 4 36
3 5 199
3 6 181
3 7 23
3 8 186
3 9 117
4 5 89
4 6 11
4 7 196
4 8 118
4 9 118
5 6 18
5 7 123
5 8 21
5 9 144
6 7 189
6 8 55
6 9 163
7 8 139
7 9 159
8 9 167
1 2 5 8 10
1 2 5 9 226
1 2 6 7 113
1 2 6 8 240
1 2 6 9 156
1 2 7 8 349
1 2 7 9 383
1 2 8 9 265
1 3 4 5 355
1 3 4 6 237
1 3 4 7 290
1 3 4 8 380
1 3 4 9 167
1 3 5 6 204
1 3 5 7 8
1 3 5 8 366
1 3 5 9 119
1 3 6 7 196
1 3 6 8 355
1 3 6 9 114
1 3 7 8 212
1 3 7 9 153
1 3 8 9 134
1 4 5 6 278
1 4 5 7 101
1 4 5 8 81
1 4 5 9 247
1 4 6 7 185
1 4 6 8 204
1 4 6 9 47
1 4 7 8 6
1 4 7 9 313
1 4 8 9 355
1 5 6 7 326
1 5 6 8 181
1 5 6 9 61
1 5 7 8 383
1 5 7 9 167
1 5 8 9 48
1 6 7 8 284
1 6 7 9 78
1 6 8 9 207
1 7 8 9 378
2 3 4 5 240
2 3 4 6 222
2 3 4 7 141
2 3 4 8 29
2 3 4 9 58
2 3 5 6 349
2 3 5 7 315
2 3 5 8 168
2 3 5 9 370
2 3 6 7 317
2 3 6 8 53
2 3 6 9 362
2 3 7 8 33
2 3 7 9 56
2 3 8 9 289
2 4 5 6 263
2 4 5 7 115
2 4 5 8 84
2 4 5 9 161
2 4 6 7 172
2 4 6 8 256
2 4 6 9 297
2 4 7 8 396
2 4 7 9 397
2 4 8 9 297
2 5 6 7 348
2 5 6 8 314
2 5 6 9 380
2 5 7 8 202
2 5 7 9 398
2 5 8 9 343
2 6 7 8 168
2 6 7 9 160
2 6 8 9 346
2 7 8 9 57
3 4 5 6 288
3 4 5 7 80
3 4 5 8 55
3 4 5 9 309
3 4 6 7 109
3 4 6 8 308
3 4 6 9 173
3 4 7 8 222
3 4 7 9 220
3 4 8 9 59
3 5 6 7 20
3 5 6 8 161
3 5 6 9 185
3 5 7 8 164
3 5 7 9 256
3 5 8 9 93
3 6 7 8 316
3 6 7 9 201
3 6 8 9 76
3 7 8 9 301
4 5 6 7 163
4 5 6 8 223
4 5 6 9 72
4 5 7 8 251
4 5 7 9 395
4 5 8 9 379
4 6 7 8 214
4 6 7 9 142
4 6 8 9 171
4 7 8 9 6
5 6 7 8 53
5 6 7 9 144
5 6 8 9 151
5 7 8 9 311
6 7 8 9 18
0 1 2 3 4 248
0 1 2 3 5 49
0 1 2 3 6 308
0 1 2 3 7 332
0 1 2 3 8 55
0 1 2 3 9 64
0 1 2 4 5 415
0 1 2 4 6 287
0 1 2 4 7 181
0 1 2 4 8 162
0 1 2 4 9 38
0 1 2 5 6 110
0 1 2 5 7 472
0 1 2 5 8 282
0 1 2 5 9 53
0 1 2 6 7 391
0 1 2 6 8 468
0 1 2 6 9 460
0 1 2 7 8 215
0 1 2 7 9 26
0 1 2 8 9 96
0 1 3 4 5 301
0 1 3 4 6 483
0 1 3 4 7 112
0 1 3 4 8 332
0 1 3 4 9 355
0 1 3 5 6 362
0 1 3 5 7 389
0 1 3 5 8 198
0 1 3 5 9 227
0 1 3 6 7 117
0 1 3 6 8 484
0 1 3 6 9 37
0 1 3 7 8 113
0 1 3 7 9 15
0 1 3 8 9 202
0 1 4 5 6 315
0 1 4 5 7 18
0 1 4 5 8 27
0 1 4 5 9 2
0 1 4 6 7 19
0 1 4 6 8 444
0 1 4 6 9 81
0 1 4 7 8 191
0 1 4 7 9 352
0 1 4 8 9 309
0 1 5 6 7 446
0 1 5 6 8 434
0 1 5 6 9 464
0 1 5 7 8 119
0 1 5 7 9 356
0 1 5 8 9 89
0 1 6 7 8 235
0 1 6 7 9 457
0 1 6 8 9 485
0 1 7 8 9 9
0 2 3 4 5 214
0 2 3 4 6 417
0 2 3 4 7 335
0 2 3 4 8 284
0 2 3 4 9 182
0 2 3 5 6 45
0 2 3 5 7 238
0 2 3 5 8 363
0 2 3 5 9 193
0 2 3 6 7 341
0 2 3 6 8 208
0 2 3 6 9 58
0 2 3 7 8 113
0 2 3 7 9 280
0 2 3 8 9 258
0 2 4 5 6 410
0 2 4 5 7 247
0 2 4 5 8 434
0 2 4 5 9 469
0 2 4 6 7 51
0 2 4 6 8 177
0 2 4 6 9 342
0 2 4 7 8 201
0 2 4 7 9 155
0 2 4 8 9 464
0 2 5 6 7 174
0 2 5 6 8 203
0 2 5 6 9 36
0 2 5 7 8 395
0 2 5 7 9 257
0 2 5 8 9 476
0 2 6 7 8 134
0 2 6 7 9 204
0 2 6 8 9 288
0 2 7 8 9 408
0 3 4 5 6 39
0 3 4 5 7 256
0 3 4 5 8 268
0 3 4 5 9 470
0 3 4 6 7 149
0 3 4 6 8 296
0 3 4 6 9 92
0 3 4 7 8 217
0 3 4 7 9 482
0 3 4 8 9 364
0 3 5 6 7 92
0 3 5 6 8 347
0 3 5 6 9 485
0 3 5 7 8 429
0 3 5 7 9 17
0 3 5 8 9 43
0 3 6 7 8 472
0 3 6 7 9 34
0 3 6 8 9 104
0 3 7 8 9 433
0 4 5 6 7 179
0 4 5 6 8 27
0 4 5 6 9 265
0 4 5 7 8 300
0 4 5 7 9 38
0 4 5 8 9 33
0 4 6 7 8 497
0 4 6 7 9 154
0 4 6 8 9 497
0 4 7 8 9 435
0 5 6 7 8 27
0 5 6 7 9 56
0 5 6 8 9 308
0 5 7 8 9 266
0 6 7 8 9 258
1 2 3 4 5 486
1 2 3 4 6 415
1 2 3 4 7 454
1 2 3 4 8 353
1 2 3 4 9 293
1 2 3 5 6 61
1 2 3 5 7 299
1 2 3 5 8 447
1 2 3 5 9 227
1 2 3 6 7 93
1 2 3 6 8 176
1 2 3 6 9 91
1 2 3 7 8 347
1 2 3 7 9 464
1 2 3 8 9 330
1 2 4 5 6 225
1 2 4 5 7 334
1 2 4 5 8 399
1 2 4 5 9 437
1 2 4 6 7 310
1 2 4 6 8 288
1 2 4 6 9 127
1 2 4 7 8 110
1 2 4 7 9 356
1 2 4 8 9 331
1 2 5 6 7 23
1 2 5 6 8 475
1 2 5 6 9 360
1 2 5 7 8 187
1 2 5 7 9 242
1 2 5 8 9 290
1 2 6 7 8 104
1 2 6 7 9 183
1 2 6 8 9 430
1 2 7 8 9 359
1 3 4 5 6 178
1 3 4 5 7 160
1 3 4 5 8 322
1 3 4 5 9 227
1 3 4 6 7 420
1 3 4 6 8 297
1 3 4 6 9 426
1 3 4 7 8 33
1 3 4 7 9 51
1 3 4 8 9 244
1 3 5 6 7 494
1 3 5 6 8 214
1 3 5 6 9 47
1 3 5 7 8 500
1 3 5 7 9 15
1 3 5 8 9 87
1 3 6 7 8 300
1 3 6 7 9 268
1 3 6 8 9 444
1 3 7 8 9 140
1 4 5 6 7 61
1 4 5 6 8 250
1 4 5 6 9 453
1 4 5 7 8 133
1 4 5 7 9 363
1 4 5 8 9 4
1 4 6 7 8 202
1 4 6 7 9 122
1 4 6 8 9 110
1 4 7 8 9 274
1 5 6 7 8 436
1 5 6 7 9 464
1 5 6 8 9 96
1 5 7 8 9 270
1 6 7 8 9 341
2 3 4 5 6 248
2 3 4 5 7 208
2 3 4 5 8 412
2 3 4 5 9 116
2 3 4 6 7 319
2 3 4 6 8 180
2 3 4 6 9 200
2 3 4 7 8 279
2 3 4 7 9 483
2 3 4 8 9 476
2 3 5 6 7 367
2 3 5 6 8 258
2 3 5 6 9 204
2 3 5 7 8 428
2 3 5 7 9 291
2 3 5 8 9 409
2 3 6 7 8 493
2 3 6 7 9 460
2 3 6 8 9 380
2 3 7 8 9 179
2 4 5 6 7 27
2 4 5 6 8 401
2 4 5 6 9 213
2 4 5 7 8 54
2 4 5 7 9 77
2 4 5 8 9 487
2 4 6 7 8 351
2 4 6 7 9 62
2 4 6 8 9 193
2 4 7 8 9 223
2 5 6 7 8 142
2 5 6 7 9 358
2 5 6 8 9 189
2 5 7 8 9 217
2 6 7 8 9 277
3 4 5 6 7 406
3 4 5 6 8 413
3 4 5 6 9 302
3 4 5 7 8 302
3 4 5 7 9 352
3 4 5 8 9 152
3 4 6 7 8 239
3 4 6 7 9 313
3 4 6 8 9 54
3 4 7 8 9 307
3 5 6 7 8 32
3 5 6 7 9 240
3 5 6 8 9 488
3 5 7 8 9 380
3 6 7 8 9 420
4 5 6 7 8 428
4 5 6 7 9 261
4 5 6 8 9 247
4 5 7 8 9 108
4 6 7 8 9 209
5 6 7 8 9 36
0 1 2 3 4 5 201
0 1 2 3 4 6 139
0 1 2 3 4 7 86
0 1 2 3 4 8 375
0 1 2 3 4 9 307
0 1 2 3 5 6 357
0 1 2 3 5 7 4
0 1 2 3 5 8 58
0 1 2 3 5 9 120
0 1 2 3 6 7 295
0 1 2 3 6 8 334
0 1 2 3 6 9 269
0 1 2 3 7 8 582
0 1 2 3 7 9 229
0 1 2 3 8 9 544
0 1 2 4 5 6 5
0 1 2 4 5 7 197
0 1 2 4 5 8 278
0 1 2 4 5 9 248
0 1 2 4 6 7 434
0 1 2 4 6 8 483
0 1 2 4 6 9 98
0 1 2 4 7 8 118
0 1 2 4 7 9 466
0 1 2 4 8 9 411
0 1 2 5 6 7 506
0 1 2 5 6 8 139
0 1 2 5 6 9 387
0 1 2 5 7 8 212
0 1 2 5 7 9 560
0 1 2 5 8 9 260
0 1 2 6 7 8 243
0 1 2 6 7 9 330
0 1 2 6 8 9 164
0 1 2 7 8 9 91
0 1 3 4 5 6 12
0 1 3 4 5 7 310
0 1 3 4 5 8 319
0 1 3 4 5 9 406
0 1 3 4 6 7 382
0 1 3 4 6 8 37
0 1 3 4 6 9 126
0 1 3 4 7 8 499
0 1 3 4 7 9 454
0 1 3 4 8 9 374
0 1 3 5 6 7 186
0 1 3 5 6 8 243
0 1 3 5 6 9 12
0 1 3 5 7 8 105
0 1 3 5 7 9 23
0 1 3 5 8 9 365
0 1 3 6 7 8 416
0 1 3 6 7 9 348
0 1 3 6 8 9 571
0 1 3 7 8 9 558
0 1 4 5 6 7 563
0 1 4 5 6 8 45
0 1 4 5 6 9 360
0 1 4 5 7 8 517
0 1 4 5 7 9 312
0 1 4 5 8 9 190
0 1 4 6 7 8 108
0 1 4 6 7 9 66
0 1 4 6 8 9 251
0 1 4 7 8 9 46
0 1 5 6 7 8 234
0 1 5 6 7 9 325
0 1 5 6 8 9 80
0 1 5 7 8 9 580
0 1 6 7 8 9 442
0 2 3 4 5 6 458
0 2 3 4 5 7 600
0 2 3 4 5 8 34
0 2 3 4 5 9 321
0 2 3 4 6 7 279
0 2 3 4 6 8 552
0 2 3 4 6 9 526
0 2 3 4 7 8 24
0 2 3 4 7 9 462
0 2 3 4 8 9 107
0 2 3 5 6 7 374
0 2 3 5 6 8 334
0 2 3 5 6 9 484
0 2 3 5 7 8 457
0 2 3 5 7 9 20
0 2 3 5 8 9 527
0 2 3 6 7 8 345
0 2 3 6 7 9 541
0 2 3 6 8 9 28
0 2 3 7 8 9 402
0 2 4 5 6 7 334
0 2 4 5 6 8 4
0 2 4 5 6 9 391
0 2 4 5 7 8 125
0 2 4 5 7 9 401
0 2 4 5 8 9 91
0 2 4 6 7 8 268
0 2 4 6 7 9 435
0 2 4 6 8 9 337
0 2 4 7 8 9 534
0 2 5 6 7 8 535
0 2 5 6 7 9 235
0 2 5 6 8 9 410
0 2 5 7 8 9 276
0 2 6 7 8 9 44
0 3 4 5 6 7 458
0 3 4 5 6 8 325
0 3 4 5 6 9 25
0 3 4 5 7 8 125
0 3 4 5 7 9 491
0 3 4 5 8 9 394
0 3 4 6 7 8 488
0 3 4 6 7 9 561
0 3 4 6 8 9 511
0 3 4 7 8 9 475
0 3 5 6 7 8 431
0 3 5 6 7 9 314
0 3 5 6 8 9 53
0 3 5 7 8 9 242
0 3 6 7 8 9 155
0 4 5 6 7 8 103
0 4 5 6 7 9 252
0 4 5 6 8 9 199
0 4 5 7 8 9 413
0 4 6 7 8 9 329
0 5 6 7 8 9 544
1 2 3 4 5 6 541
1 2 3 4 5 7 417
1 2 3 4 5 8 444
1 2 3 4 5 9 365
1 2 3 4 6 7 427
1 2 3 4 6 8 441
1 2 3 4 6 9 106
1 2 3 4 7 8 243
1 2 3 4 7 9 422
1 2 3 4 8 9 81
1 2 3 5 6 7 166
1 2 3 5 6 8 375
1 2 3 5 6 9 115
1 2 3 5 7 8 585
1 2 3 5 7 9 506
1 2 3 5 8 9 363
1 2 3 6 7 8 408
1 2 3 6 7 9 281
1 2 3 6 8 9 13
1 2 3 7 8 9 320
1 2 4 5 6 7 324
1 2 4 5 6 8 38
1 2 4 5 6 9 484
1 2 4 5 7 8 227
1 2 4 5 7 9 122
1 2 4 5 8 9 328
1 2 4 6 7 8 231
1 2 4 6 7 9 504
1 2 4 6 8 9 513
1 2 4 7 8 9 47
1 2 5 6 7 8 141
1 2 5 6 7 9 494
1 2 5 6 8 9 353
1 2 5 7 8 9 456
1 2 6 7 8 9 283
1 3 4 5 6 7 591
1 3 4 5 6 8 325
1 3 4 5 6 9 304
1 3 4 5 7 8 158
1 3 4 5 7 9 45
1 3 4 5 8 9 125
1 3 4 6 7 8 275
1 3 4 6 7 9 384
1 3 4 6 8 9 471
1 3 4 7 8 9 385
1 3 5 6 7 8 572
1 3 5 6 7 9 205
1 3 5 6 8 9 344
1 3 5 7 8 9 444
1 3 6 7 8 9 316
1 4 5 6 7 8 190
1 4 5 6 7 9 32
1 4 5 6 8 9 399
1 4 5 7 8 9 194
1 4 6 7 8 9 440
1 5 6 7 8 9 581
2 3 4 5 6 7 351
2 3 4 5 6 8 569
2 3 4 5 6 9 466
2 3 4 5 7 8 474
2 3 4 5 7 9 594
2 3 4 5 8 9 341
2 3 4 6 7 8 154
2 3 4 6 7 9 387
2 3 4 6 8 9 495
2 3 4 7 8 9 7
2 3 5 6 7 8 139
2 3 5 6 7 9 124
2 3 5 6 8 9 240
2 3 5 7 8 9 161
2 3 6 7 8 9 524
2 4 5 6 7 8 63
2 4 5 6 7 9 504
2 4 5 6 8 9 480
2 4 5 7 8 9 378
2 4 6 7 8 9 77
2 5 6 7 8 9 494
3 4 5 6 7 8 300
3 4 5 6 7 9 347
3 4 5 6 8 9 522
3 4 5 7 8 9 521
3 4 6 7 8 9 409
3 5 6 7 8 9 441
4 5 6 7 8 9 526
0 1 2 3 4 5 6 194
0 1 2 3 4 5 7 592
0 1 2 3 4 5 8 139
0 1 2 3 4 5 9 43
0 1 2 3 4 6 7 153
0 1 2 3 4 6 8 375
0 1 2 3 4 6 9 252
0 1 2 3 4 7 8 329
0 1 2 3 4 7 9 312
0 1 2 3 4 8 9 161
0 1 2 3 5 6 7 340
0 1 2 3 5 6 8 336
0 1 2 3 5 6 9 653
0 1 2 3 5 7 8 347
0 1 2 3 5 7 9 552
0 1 2 3 5 8 9 584
0 1 2 3 6 7 8 204
0 1 2 3 6 7 9 663
0 1 2 3 6 8 9 390
0 1 2 3 7 8 9 575
0 1 2 4 5 6 7 98
0 1 2 4 5 6 8 418
0 1 2 4 5 6 9 52
0 1 2 4 5 7 8 11
0 1 2 4 5 7 9 383
0 1 2 4 5 8 9 14
0 1 2 4 6 7 8 490
0 1 2 4 6 7 9 7
0 1 2 4 6 8 9 77
0 1 2 4 7 8 9 325
0 1 2 5 6 7 8 511
0 1 2 5 6 7 9 635
0 1 2 5 6 8 9 468
0 1 2 5 7 8 9 106
0 1 2 6 7 8 9 648
0 1 3 4 5 6 7 299
0 1 3 4 5 6 8 216
0 1 3 4 5 6 9 590
0 1 3 4 5 7 8 103
0 1 3 4 5 7 9 43
0 1 3 4 5 8 9 346
0 1 3 4 6 7 8 262
0 1 3 4 6 7 9 25
0 1 3 4 6 8 9 386
0 1 3 4 7 8 9 528
0 1 3 5 6 7 8 245
0 1 3 5 6 7 9 9
0 1 3 5 6 8 9 39
0 1 3 5 7 8 9 595
0 1 3 6 7 8 9 420
0 1 4 5 6 7 8 22
0 1 4 5 6 7 9 518
0 1 4 5 6 8 9 257
0 1 4 5 7 8 9 330
0 1 4 6 7 8 9 397
0 1 5 6 7 8 9 55
0 2 3 4 5 6 7 335
0 2 3 4 5 6 8 196
0 2 3 4 5 6 9 119
0 2 3 4 5 7 8 97
0 2 3 4 5 7 9 10
0 2 3 4 5 8 9 559
0 2 3 4 6 7 8 415
0 2 3 4 6 7 9 318
0 2 3 4 6 8 9 488
0 2 3 4 7 8 9 573
0 2 3 5 6 7 8 594
0 2 3 5 6 7 9 219
0 2 3 5 6 8 9 331
0 2 3 5 7 8 9 7
0 2 3 6 7 8 9 277
0 2 4 5 6 7 8 629
0 2 4 5 6 7 9 656
0 2 4 5 6 8 9 230
0 2 4 5 7 8 9 409
0 2 4 6 7 8 9 551
0 2 5 6 7 8 9 103
0 3 4 5 6 7 8 632
0 3 4 5 6 7 9 582
0 3 4 5 6 8 9 605
0 3 4 5 7 8 9 577
0 3 4 6 7 8 9 342
0 3 5 6 7 8 9 596
0 4 5 6 7 8 9 224
1 2 3 4 5 6 7 657
1 2 3 4 5 6 8 235
1 2 3 4 5 6 9 664
1 2 3 4 5 7 8 569
1 2 3 4 5 7 9 502
1 2 3 4 5 8 9 76
1 2 3 4 6 7 8 176
1 2 3 4 6 7 9 426
1 2 3 4 6 8 9 507
1 2 3 4 7 8 9 269
1 2 3 5 6 7 8 389
1 2 3 5 6 7 9 329
1 2 3 5 6 8 9 636
1 2 3 5 7 8 9 260
1 2 3 6 7 8 9 654
1 2 4 5 6 7 8 326
1 2 4 5 6 7 9 120
1 2 4 5 6 8 9 484
1 2 4 5 7 8 9 640
1 2 4 6 7 8 9 239
1 2 5 6 7 8 9 253
1 3 4 5 6 7 8 565
1 3 4 5 6 7 9 282
1 3 4 5 6 8 9 40
1 3 4 5 7 8 9 606
1 3 4 6 7 8 9 27
1 3 5 6 7 8 9 572
1 4 5 6 7 8 9 312
2 3 4 5 6 7 8 80
2 3 4 5 6 7 9 467
2 3 4 5 6 8 9 220
2 3 4 5 7 8 9 61
2 3 4 6 7 8 9 92
2 3 5 6 7 8 9 126
2 4 5 6 7 8 9 197
3 4 5 6 7 8 9 637
0 1 2 3 4 5 6 7 644
0 1 2 3 4 5 6 8 166
0 1 2 3 4 5 6 9 751
0 1 2 3 4 5 7 8 466
0 1 2 3 4 5 7 9 334
0 1 2 3 4 5 8 9 78
0 1 2 3 4 6 7 8 752
0 1 2 3 4 6 7 9 437
0 1 2 3 4 6 8 9 700
0 1 2 3 4 7 8 9 688
0 1 2 3 5 6 7 8 551
0 1 2 3 5 6 7 9 97
0 1 2 3 5 6 8 9 358
0 1 2 3 5 7 8 9 18
0 1 2 3 6 7 8 9 386
0 1 2 4 5 6 7 8 174
0 1 2 4 5 6 7 9 99
0 1 2 4 5 6 8 9 487
0 1 2 4 5 7 8 9 462
0 1 2 4 6 7 8 9 91
0 1 2 5 6 7 8 9 6
0 1 3 4 5 6 7 8 351
0 1 3 4 5 6 7 9 276
0 1 3 4 5 6 8 9 498
0 1 3 4 5 7 8 9 357
0 1 3 4 6 7 8 9 515
0 1 3 5 6 7 8 9 313
0 1 4 5 6 7 8 9 106
0 2 3 4 5 6 7 8 245
0 2 3 4 5 6 7 9 344
0 2 3 4 5 6 8 9 242
0 2 3 4 5 7 8 9 461
0 2 3 4 6 7 8 9 22
0 2 3 5 6 7 8 9 376
0 2 4 5 6 7 8 9 84
0 3 4 5 6 7 8 9 788
1 2 3 4 5 6 7 8 85
1 2 3 4 5 6 7 9 487
1 2 3 4 5 6 8 9 580
1 2 3 4 5 7 8 9 487
1 2 3 4 6 7 8 9 550
1 2 3 5 6 7 8 9 600
1 2 4 5 6 7 8 9 562
1 3 4 5 6 7 8 9 787
2 3 4 5 6 7 8 9 298
0 1 2 3 4 5 6 7 8 580
0 1 2 3 4 5 6 7 9 135
0 1 2 3 4 5 6 8 9 171
0 1 2 3 4 5 7 8 9 575
0 1 2 3 4 6 7 8 9 243
0 1 2 3 5 6 7 8 9 272
0 1 2 4 5 6 7 8 9 632
0 1 3 4 5 6 7 8 9 134
0 2 3 4 5 6 7 8 9 637
1 2 3 4 5 6 7 8 9 673
0 1 2 3 4 5 6 7 8 9 946
